FeatureBagging,HBOS,IForest,KNN,AverageKNN
0.5197995662362993,0.5242245382163288,0.5224669218788663,0.5204836901937381,0.5093339252703746
0.5177697235485367,0.5146602708122183,0.5182278319222375,0.514017024354088,0.5072597251285529
0.5141131101352096,0.5202515307487683,0.5196686656907651,0.5141916544678975,0.5112757551431585
0.5118094418137465,0.5131331611422012,0.5212189697230593,0.5164550150667241,0.5142488161859664
0.514548550967235,0.5195375613164291,0.5248104103288161,0.5279835810250215,0.5130602174640836
0.5086920883820385,0.5203314326443336,0.5111511047754811,0.5168389166072702,0.5092266571632216
0.5103922750202883,0.5135074311795218,0.5117856405544696,0.5171284766717442,0.5080251035182247
0.5112542014789205,0.5170423188962515,0.5182276961490445,0.5206363840071705,0.5089658759883479
0.5069480403059683,0.5199299710756909,0.5158676227026362,0.5092377247213198,0.5037907519944232
0.5086279091032347,0.5199923695652858,0.5159058303457974,0.5182799360556959,0.5036288707902545
0.5195769378357635,0.5180305065234074,0.5132940010232796,0.5168142427730879,0.5051853095420824
0.5061754933494687,0.5150527552825531,0.5075378516108204,0.5077848151457647,0.49939867033084373
0.5080275408541003,0.5158186788564914,0.5088756536624787,0.5051452385371961,0.5000076561399429
0.5177550351972823,0.5177994278833755,0.5212846459032295,0.5184453963686468,0.5044875829107923
0.5022967086537404,0.5084110959097986,0.5124873016621849,0.5067647937601234,0.5007504206570111
0.5050734676847123,0.5116457086177433,0.4960332009973917,0.49987257772758614,0.4997345369324712
0.5009931117565244,0.5073820989540875,0.49444146517977355,0.5043112677837215,0.49718761297996433
0.5107212587756719,0.5060663579803093,0.5119828464972406,0.5074423449937527,0.5013632049696586
0.5029313689883649,0.5125095579596555,0.5113481756920778,0.5023172759611121,0.5021159237019209
0.5122174320524835,0.511707122774133,0.5053445798188066,0.5073583255232739,0.501405654482974
0.5138701531590253,0.5151493780497126,0.5214768422236487,0.5113861112371092,0.5072422614272764
0.5127989522020324,0.5079933668637019,0.5112513245954319,0.5156991519463348,0.5095727222428879
0.51575682382134,0.5126788083087535,0.5167240975701108,0.5132851101019086,0.5108967336173666
0.5111322356937302,0.5212220282744413,0.5194750829519901,0.5156563035649698,0.5105716217703763
0.5097209346259757,0.5206398029258357,0.5156422613484667,0.5204433793364887,0.5103058265241908
0.5144205063738144,0.5193022065881815,0.5216044144197914,0.5158047531297095,0.5070684246258523
0.505284864307538,0.50890033454096,0.5106517084921693,0.5096854495177375,0.5091500578588748
0.5086075290813359,0.5138142941664736,0.5097911458142558,0.5140177719447137,0.5083551607614135
0.5074079827567793,0.5124395208921942,0.5088442705450968,0.5105079112336605,0.5050789505195945
0.5105480316901564,0.5153357316636829,0.5106786696372257,0.5116816420828373,0.5094109627718008
0.5004008152430793,0.5058606625047424,0.4976927915017085,0.49955349434006024,0.49967969442249205
0.5101862625414871,0.5145683121606327,0.5128024898587215,0.5172384249545392,0.5046029959689213
0.5086854758504139,0.5134634846094215,0.5117328390501188,0.5098161829770158,0.5044982140498072
0.512590525798352,0.5139484917526906,0.5168730863373809,0.514580166273035,0.5027655307582368
0.5142955861166675,0.5245300819402482,0.5140285335077762,0.512334679467546,0.5065201800391488
0.5063368055555556,0.5102757043473956,0.507410811546841,0.5070383677460883,0.5006862435630819
0.5084334261137582,0.5142342469846362,0.507246465694831,0.5103594848327594,0.5008847163906842
0.5172801182557281,0.5014233146199933,0.5124873016621849,0.5129126763221211,0.5008847163906842
0.5065295392677861,0.5112608023905328,0.5164999971702972,0.5102174280768145,0.5000999828331363
